"","text","story","paragraph"
"17","The sun is already setting, but down below you see it lighting up the face of the little girl who strolls along looking about her, and at the same time you see her eclipsed by the shadow of the man behind overtaking her.","AbsentmindedWindowgazing",2
"18","And then the man has passed by and the little girl's face is quite bright.","AbsentmindedWindowgazing",3
"19","See what a persuasive force the air has after a thunderstorm! My merits become evident and overpower me, though I don't put up any resistance, I grant you.","the way home",1
"20","I stride along and my tempo is the tempo of all my side of the street, of the whole street, of the whole quarter. Mine is the responsibility, and rightly so, for all the raps on doors or on the flat of a table, for all toasts drunk, for lovers in their beds, in the scaffolding of new buildings, pressed to each other against the house walls in dark alleys, or on the divans of a brothel.","the way home",2
"21","I weigh my past against my future, but find both of them admirable, cannot give either the preference, and find nothing to grumble at save the injustice of providence that has so clearly favored me.","the way home",3
"22","Only as I come into my room I feel a little meditative, without having met anything on the stairs worth meditating about. It doesn't help me much to open the window wide and hear music still playing in a garden.","the way home",4
"23","When you go walking by night up a street and a man, visible a long way off - for the street mounts uphill and there is a full moon - comes running toward you, well, you don't catch hold of him, not even if he is a feeble and ragged creature, not even if someone chases yelling at his heels, but you let him run on.","passerby",1
"24","For it is night, and you can't help it if the street goes uphill before you in the moonlight, and besides, these two have maybe started that chase to amuse themselves, or perhaps they are both chasing a third, perhaps the first is an innocent man and the second wants to murder him and you would become an accessory, perhaps they don't know anything about each other and are merely running separately home to bed, perhaps they are night birds, perhaps the first man is armed.","passerby",2
"25","And anyhow, haven't you a right to be tired, haven't you been drinking a lot of wine? You're thankful that the second man is now long out of sight.","passerby",3
"26","I stand on the end platform of the tram and am completely unsure of my footing in this world, in this town, in my family. Not even casually could I indicate any claims that I might rightly advance in any direction. I have not even any defense to offer for standing on this platform, holding on to this strap, letting myself be carried along by this tram, norfor the people who give way to the tram or walk quietly along or stand gazing into shopwindows. Nobody asks me to put up a defense, indeed, but that is irrelevant.","on the tram",1
"27","The tram approaches a stopping place and a girl takes up her position near the step, ready to alight. She is as distinct to me as if I had run my hands over her. She is dressed in black, the pleats of her skirt hang almost still, her blouse is tight and has a collar of white fine-meshed lace, her left hand is braced flat against the side of the tram, the umbrella in her right hand rests on the second top step. Her face is brown, her nose, slightly pinched at the sides, has a broad round tip. She has a lot of brown hair and stray little tendrils on the right temple. Her small ear is close-set, but since I am near her I can see the whole ridge of the whorl of her right ear and the shadow at the root of it.","on the tram",2
"28","At that point I asked myself: How is it that she is not amazed at herself, that she keeps her lips closed and makes no such remark?","on the tram",3
"29","Often when I see clothes with manifold pleats, frills, and appendages which fit so smoothly onto lovely bodies I think they won't keep that smoothness long, but will get creases that can't be ironed out, dust lying so thick in the embroidery that it can't be brushed away, and that no one would want to be so unhappy and so foolish as to wear the same valuable gown every day from early morning till night.","clothes",1
"30","And yet I see girls who are lovely enough and display attractive muscles and small bones and smooth skin and masses of delicate hair, and nonetheless appear day in, day out, in this same natural fancy dress, always propping the same face on the same palms and letting it be reflected from the looking glass.","clothes",2
"31","Only sometimes at night, on coming home late from a party, it seems in the looking glass to be worn out, puffy, dusty, already seen by too many people, and hardly wearable any longer.","clothes",3
"32","When I meet a pretty girl and beg her: 'Be so good as to come with me,' and she walks past without a word, this is what she means to say:","rejection",1
"33","'You are no Duke with a famous name, no broad American with a Red Indian figure, level, brooding eyes and a skin tempered by the air of the prairies and the rivers that flow through them, you have never journeyed to the seven seas and voyaged on them wherever they may be, I don't know where. So why, pray, should a pretty girl like myself go with you?'","rejection",2
"34","'You forget that no automobile swings you through the street in long thrusts; I see no gentlemen escorting you in a close half-circle, pressing on your skirts from behind and murmuring blessings on your head; your breasts are well laced into your bodice, but your thighs and hips make up for that restraint; you are wearing a taffeta dress with a pleated skirt such as delighted all of us last autumn, and yet you smile - inviting mortal danger - from time to time.'","rejection",3
"35","'Yes, we're both in the right, and to keep us from being irrevocably aware of it, hadn't we better just go our separate ways home?'","rejection",4
